Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance,mst_Lower_bound
82,0,0,0,18,"['1101314', '1117760', '251547', '272457', '372898', '708440']",84,"['372898', '708440', '1101314', '251547', '272457', '1117760']",80,52
83,0,0,0,18,"['780187', '2166906', '360342', '358857']",48,"['780187', '2166906', '360342', '358857']",52,44
84,0,0,0,18,"['17032', '68048', '374101']",48,"['374101', '17032', '68048']",48,42
85,0,0,0,18,"['383599', '381992', '366647', '5307', '91849', '113039', '376286']",68,"['5307', '383599', '381992', '366647', '91849', '113039', '376286']",48,34
86,0,0,0,18,"['103926', '106685', '260033']",44,"['103926', '106685', '260033']",40,40
87,0,0,0,18,"['352293', '386536', '358424', '375744']",60,"['386536', '358424', '375744', '352293']",68,40
88,0,0,0,18,"['382158', '388198', '286783', '34054']",80,"['286783', '382158', '388198', '34054']",56,42
89,0,0,0,18,"['360056', '367941', '198029', '17112']",44,"['367941', '360056', '17112', '198029']",32,28
90,0,0,0,18,"['190046', '1720591', '1400584', '1400569', '391857']",68,"['190046', '1720591', '1400584', '1400569', '391857']",72,44
91,0,0,0,18,"['219501', '208974', '168753', '1399145', '1327769']",40,"['219501', '208974', '168753', '1399145', '1327769']",36,28
92,0,0,0,18,"['219501', '317225', '208974', '392501', '168753', '1399145', '1327769']",60,"['219501', '208974', '168753', '392501', '317225', '1399145', '1327769']",36,30
93,0,0,0,18,"['365028', '387238', '366339']",44,"['365028', '387238', '366339']",40,40
94,0,0,0,18,"['356984', '376926', '360031']",40,"['356984', '376926', '360031']",48,48
95,0,0,0,18,"['396794', '944530', '944526', '944527']",120,"['944527', '944530', '944526', '396794']",102,74
96,0,0,0,18,['2620261'],28,['2620261'],36,36
97,0,0,0,18,"['2217453', '2217454', '2217451', '2217452']",32,"['2217453', '2217454', '2217451', '2217452']",36,36
98,0,0,0,18,"['2217453', '2217454', '2217451', '2217452']",32,"['2217453', '2217454', '2217451', '2217452']",36,36
99,0,0,0,18,"['135359', '380393', '298112', '181025', '393243']",80,"['298112', '135359', '380393', '181025', '393243']",64,50
100,0,0,0,18,"['392819', '8659', '157585', '262522', '201055', '361101']",76,"['8659', '392819', '361101', '201055', '157585', '262522']",72,64
