Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,nn_order,nn_distance,nn_effort,mst_Lower_bound,bab_order,bab_distance,bab_effort
1480,0,0,0,0,"['1629093', '1694361', '2136623', '2253123', '2253376']",44,"['2253376', '1629093', '1694361', '2136623', '2253123']",40,0,42,"['1629093', '1694361', '2136623', '2253123', '2253376']",42,0
1481,0,0,0,0,"['1629133', '1623617', '1628100', '1945689', '1629140', '1945534', '1628215', '1629093', '1620977', '1628712']",54,"['1628712', '1629133', '1623617', '1628100', '1945689', '1629140', '1945534', '1628215', '1629093', '1620977']",50,0,52,"['1629133', '1623617', '1628100', '1945689', '1629140', '1945534', '1628215', '1629093', '1620977', '1628712']",52,0
1482,0,0,0,0,"['125567', '396555', '11930', '232561']",70,"['232561', '396555', '125567', '11930']",64,172.4,48,"['125567', '396555', '232561', '11930']",68,304.6
1483,0,0,0,0,"['1145770', '340953', '250332', '59313', '48365']",74,"['48365', '59313', '340953', '250332', '1145770']",62,156.0,52,"['340953', '250332', '59313', '48365', '1145770']",72,192.0
1484,0,0,0,0,"['107386', '281978', '307102', '1588730']",48,"['1588730', '281978', '107386', '307102']",42,36.0,44,"['107386', '281978', '307102', '1588730']",46,30.0
1485,0,0,0,0,"['355027', '3547', '122027', '921303']",52,"['355027', '3547', '122027', '921303']",48,87.0,48,"['355027', '3547', '122027', '921303']",54,87.0
1486,0,0,0,0,"['1145777', '1898900', '1701163', '245805', '180564', '1145779']",54,"['1145779', '1898900', '1145777', '180564', '1701163', '245805']",44,416.8,46,"['1145777', '1898900', '1701163', '1145779', '180564', '245805']",50,356.4
1487,0,0,0,0,"['1628198', '1629091', '1694361', '1623758', '1623773', '1624376']",46,"['1624376', '1628198', '1629091', '1694361', '1623758', '1623773']",42,0,44,"['1628198', '1629091', '1694361', '1623758', '1623773', '1624376']",44,0
1488,0,0,0,0,"['1622113', '1622774', '1628406', '1628198', '1622038', '1621555', '1628710']",66,"['1628710', '1622113', '1628406', '1628198', '1622038', '1621555', '1622774']",52,0,46,"['1628406', '1622113', '1622774', '1622038', '1621555', '1628710', '1628198']",58,0
1489,0,0,0,0,"['117982', '397891', '89769', '499539']",86,"['397891', '89769', '499539', '117982']",62,38.6,64,"['117982', '89769', '499539', '397891']",78,40.8
1490,0,0,0,0,"['1694361', '1622113', '1622774', '1628406', '1628198', '1622038', '1628855', '1621555', '1628710']",70,"['1628710', '1694361', '1622113', '1628406', '1628198', '1622038', '1628855', '1621555', '1622774']",56,0,50,"['1628406', '1694361', '1622113', '1622774', '1622038', '1628855', '1621555', '1628710', '1628198']",62,0
1491,0,0,0,0,"['1672027', '284251', '362418', '207886', '134003']",76,"['134003', '207886', '284251', '1672027', '362418']",58,0,60,"['1672027', '207886', '134003', '284251', '362418']",66,0
1492,0,0,0,0,"['362563', '878026', '70298', '125890']",58,"['125890', '70298', '878026', '362563']",50,32.4,52,"['70298', '125890', '878026', '362563']",54,32.4
1493,0,0,0,0,"['366867', '473677', '396929', '396930', '397489']",78,"['397489', '396929', '396930', '366867', '473677']",72,372.0,66,"['473677', '366867', '396930', '397489', '396929']",78,174.6
1494,0,0,0,0,"['356984', '376926', '360031']",36,"['360031', '356984', '376926']",32,19.4,34,"['356984', '376926', '360031']",34,21.2
1495,0,0,0,0,"['384363', '422465', '156133', '208660', '130594']",74,"['422465', '156133', '384363', '208660', '130594']",62,35.2,46,"['422465', '156133', '130594', '384363', '208660']",60,28.8
1496,0,0,0,0,"['181202', '281567', '120295', '353827']",76,"['353827', '281567', '181202', '120295']",62,83.2,54,"['181202', '353827', '281567', '120295']",68,79.2
1497,0,0,0,0,"['108335', '383599', '381992', '366647']",68,"['366647', '383599', '381992', '108335']",64,139.2,58,"['108335', '381992', '366647', '383599']",70,98.4
1498,0,0,0,0,"['306176', '287261', '111873']",44,"['111873', '287261', '306176']",40,44.0,40,"['306176', '111873', '287261']",46,40.0
1499,0,0,0,0,"['346722', '110313', '156385', '43123', '230004', '352293', '392017', '193618', '227150', '1348509', '334312']",100,"['1348509', '227150', '193618', '334312', '346722', '110313', '156385', '230004', '392017', '352293', '43123']",76,84.0,54,"['352293', '227150', '110313', '43123', '346722', '230004', '156385', '392017', '1348509', '193618', '334312']",84,28.0
1500,0,0,0,0,"['1017740', '193473', '61215', '1400582', '1400583']",98,"['61215', '193473', '1400582', '1400583', '1017740']",74,1280.8,70,"['1017740', '61215', '193473', '1400582', '1400583']",98,2793.8
1501,0,0,0,0,"['8140', '276157', '296188', '161422']",54,"['161422', '276157', '8140', '296188']",48,10.4,48,"['8140', '276157', '161422', '296188']",52,9.6
1502,0,0,0,0,"['309096', '176484', '342032', '394165', '383934', '358769', '239436', '41100', '204756', '151579']",100,"['309096', '383934', '394165', '358769', '342032', '239436', '41100', '204756', '151579', '176484']",70,986.8,56,"['176484', '394165', '383934', '358769', '309096', '239436', '41100', '204756', '151579', '342032']",72,661.2
