Order ID,start_x,start_y,end_x,end_y,ori_order,ori_distance,opt_order,opt_distance,mst_Lower_bound,bab_order,bab_distance
12,0,0,0,0,"['176484', '245818', '195946', '272457', '354111', '103926', '106685', '260033', '306104', '397673', '16643', '193618', '180958', '226774', '392017', '154454', '287261', '111873', '391857', '393069', '1400578']",168,"['391857', '154454', '180958', '193618', '226774', '392017', '16643', '260033', '272457', '354111', '306104', '106685', '103926', '245818', '397673', '287261', '111873', '393069', '195946', '176484', '1400578']",96,26,"['1400578', '226774', '392017', '260033', '180958', '245818', '397673', '306104', '16643', '193618', '354111', '272457', '176484', '111873', '195946', '154454', '287261', '103926', '106685', '393069', '391857']",156
13,0,0,0,0,"['1145658', '1590703', '1588573', '304902', '616588', '204756', '354453', '156523', '129049', '19494', '72830', '207762', '17032']",112,"['1588573', '17032', '207762', '72830', '129049', '156523', '19494', '1590703', '204756', '354453', '304902', '616588', '1145658']",68,34,"['616588', '1145658', '1588573', '17032', '204756', '19494', '129049', '354453', '72830', '207762', '304902', '156523', '1590703']",112
14,0,0,0,0,"['208299', '147629', '311368', '48409', '255229', '396806', '104076', '286438']",72,"['311368', '255229', '396806', '104076', '286438', '208299', '147629', '48409']",68,52,"['286438', '147629', '104076', '396806', '255229', '48409', '208299', '311368']",72
15,0,0,0,0,"['356984', '376926', '360031']",32,"['356984', '376926', '360031']",32,32,"['356984', '376926', '360031']",32
16,0,0,0,0,"['1651829', '2253198', '1622191', '1621045', '1621158', '1622196', '1622195', '1622191', '1945580', '1628756', '1629090', '2625541', '2625537', '1623864', '1622038', '1621964', '1624694', '1626710', '1626709', '1626718']",36,"['1651829', '2253198', '1622191', '1621045', '1621158', '1622196', '1622195', '1622191', '1945580', '1628756', '1629090', '2625541', '2625537', '1623864', '1622038', '1621964', '1624694', '1626710', '1626709', '1626718']",36,36,"['1629090', '2625541', '1945580', '1621045', '2625537', '1622195', '1622038', '2253198', '1624694', '1622191', '1651829', '1626718', '1621158', '1622191', '1623864', '1622196', '1628756', '1626709', '1621964', '1626710']",36
17,0,0,0,0,"['762640', '1138', '1329222', '298112', '8659']",80,"['8659', '298112', '762640', '1138', '1329222']",72,62,"['1329222', '8659', '298112', '762640', '1138']",76
18,0,0,0,0,"['379184', '392028', '391231', '373389']",64,"['373389', '391231', '392028', '379184']",64,52,"['379184', '392028', '373389', '391231']",64
19,0,0,0,0,"['848856', '393114', '397759', '135359']",44,"['848856', '393114', '397759', '135359']",44,36,"['848856', '397759', '135359', '393114']",44
20,0,0,0,0,"['397023', '396275', '2176822', '277444']",44,"['277444', '2176822', '397023', '396275']",44,36,"['397023', '396275', '2176822', '277444']",44
21,0,0,0,0,"['1365', '915008', '395667', '2353999', '2355128', '2353376', '2332456', '2363688', '2350751', '408600', '38512', '657803', '920290', '1072892', '398496', '399274', '1324430']",160,"['1072892', '920290', '657803', '915008', '2350751', '2353999', '2355128', '2353376', '2332456', '2363688', '398496', '399274', '38512', '1365', '395667', '1324430', '408600']",72,36,"['2353376', '2350751', '657803', '915008', '920290', '2355128', '2363688', '408600', '1072892', '398496', '399274', '1365', '395667', '1324430', '38512', '2353999', '2332456']",128
22,0,0,0,0,"['1605984', '1101321', '195946', '1101337', '1101327', '383599', '381992', '89769', '219130']",104,"['1101337', '1101321', '195946', '1101327', '383599', '381992', '1605984', '89769', '219130']",80,38,"['383599', '89769', '1101321', '219130', '195946', '381992', '1101327', '1605984', '1101337']",92
23,0,0,0,0,"['71795', '364846', '100792', '289088', '2625629', '204257', '194170']",116,"['364846', '204257', '71795', '194170', '100792', '2625629', '289088']",72,46,"['289088', '2625629', '100792', '71795', '194170', '204257', '364846']",72
24,0,0,0,0,"['371198', '30668', '322367', '272175', '1190989', '391857', '393069']",108,"['393069', '371198', '1190989', '272175', '322367', '30668', '391857']",72,48,"['272175', '322367', '1190989', '371198', '393069', '30668', '391857']",80
25,0,0,0,0,"['334956', '1114834', '91849']",44,"['334956', '1114834', '91849']",44,44,"['334956', '1114834', '91849']",44
26,0,0,0,0,"['383599', '381992', '258569', '324086', '1456044']",76,"['324086', '383599', '381992', '258569', '1456044']",64,42,"['383599', '1456044', '381992', '258569', '324086']",72
27,0,0,0,0,"['405691', '391079', '380057', '179949', '1044876']",64,"['1044876', '391079', '380057', '179949', '405691']",64,32,"['1044876', '405691', '391079', '380057', '179949']",64
28,0,0,0,0,"['948360', '360062', '42416', '324086']",56,"['360062', '42416', '948360', '324086']",52,50,"['948360', '360062', '42416', '324086']",56
29,0,0,0,0,"['1720533', '272258', '239436', '230004', '219130', '1400574']",108,"['1400574', '1720533', '230004', '239436', '272258', '219130']",72,50,"['1400574', '239436', '272258', '219130', '1720533', '230004']",92
